net,length_um
clknet_0_net576,21.12µm
net801,21.08µm
net519,21.04µm
clknet_1_1__leaf_net147,21.04µm
net881,21.02µm
net612,20.865µm
net292,20.81µm
net712,20.74µm
clknet_1_1__leaf_net174,20.7µm
net525,20.62µm
net313,20.61µm
net544,20.56µm
clknet_1_1__leaf_net162,20.46µm
net959,20.44µm
clknet_1_0__leaf_net249,20.435µm
net349,20.42µm
clknet_0_net613,20.42µm
net516,20.4µm
net904,20.36µm
clknet_0_net280,20.32µm
net571,20.16µm
net618,20.1µm
clknet_1_1__leaf_net294,20.08µm
clknet_1_1__leaf_net636,20.08µm
clknet_0_net141,20.08µm
clknet_0_net943,19.98µm
net909,19.96µm
clknet_0_net140,19.92µm
net498,19.9µm
net328,19.86µm
clknet_0_net485,19.84µm
clknet_1_0__leaf_net588,19.76µm
net1057,19.69µm
net28,19.66µm
clknet_0_net294,19.66µm
clknet_0_net244,19.66µm
net141,19.62µm
clknet_1_0__leaf_net561,19.62µm
clknet_0_net498,19.62µm
clknet_0_net975,19.62µm
net586,19.6µm
net610,19.58µm
net721,19.57µm
clknet_0_net162,19.56µm
net120,19.4µm
net18,19.3µm
clknet_0_net378,19.28µm
net908,19.26µm
net317,19.17µm
clknet_1_1__leaf_net519,19.17µm
net713,19.14µm
net88,19.02µm
net552,18.86µm
clknet_0_net782,18.8µm
clknet_1_1__leaf_net280,18.78µm
clknet_1_1__leaf_net121,18.78µm
clknet_0_net841,18.76µm
net300,18.7µm
clknet_1_0__leaf_net587,18.62µm
clknet_1_0__leaf_net598,18.62µm
net251,18.6µm
clknet_1_1__leaf_net249,18.6µm
net506,18.56µm
clknet_1_1__leaf_net598,18.45µm
net658,18.4µm
net237,18.38µm
net641,18.36µm
clknet_0_net121,18.36µm
clknet_0_net568,18.24µm
net131,18.22µm
net541,18.1µm
net92,18.06µm
net661,17.94µm
net784,17.86µm
clknet_0_net245,17.8µm
net589,17.78µm
net273,17.76µm
net502,17.645µm
clknet_0_net374,17.64µm
net157,17.56µm
net765,17.52µm
net303,17.5µm
net490,17.48µm
net635,17.42µm
clknet_0_net496,17.36µm
clknet_0_net588,17.32µm
net470,17.28µm
net822,17.28µm
net527,17.24µm
net742,17.24µm
net826,17.24µm
net476,17.06µm
net577,17.02µm
net494,17µm
clknet_1_0__leaf_net496,16.965µm
net720,16.96µm
clknet_1_0__leaf_net145,16.96µm
clknet_1_1__leaf_net563,16.9µm
net645,16.88µm
net570,16.86µm
net478,16.845µm
clknet_1_1__leaf_net618,16.78µm
clknet_1_0__leaf_net293,16.76µm
clknet_0_net174,16.72µm
net181,16.53µm
net407,16.52µm
net545,16.46µm
clknet_0_net510,16.44µm
net213,16.4µm
clknet_0_net618,16.4µm
clknet_1_0__leaf_net407,16.4µm
clknet_0_net156,16.4µm
clknet_1_0__leaf_net616,16.39µm
net759,16.38µm
net761,16.36µm
net889,16.36µm
net189,16.34µm
net371,16.32µm
net968,16.32µm
clknet_0_net972,16.3µm
net13,16.2µm
net539,16.2µm
net316,16.18µm
net903,16.1µm
clknet_0_net961,16.06µm
net699,16.05µm
net461,16.04µm
net614,16.03µm
net526,15.86µm
net727,15.72µm
clknet_1_1__leaf_net576,15.67µm
in40,15.63µm
net605,15.58µm
clknet_0_net470,15.54µm
clknet_1_1__leaf_net942,15.52µm
net733,15.46µm
net378,15.42µm
net121,15.34µm
net598,15.3µm
net1052,15.3µm
clknet_1_0__leaf_net374,15.28µm
net681,15.22µm
in47,15.12µm
clknet_1_0__leaf_net577,15.12µm
net329,14.97µm
clknet_1_1__leaf_net156,14.92µm
net730,14.88µm
net622,14.82µm
net530,14.81µm
net265,14.78µm
net35,14.76µm
net559,14.76µm
clknet_0_net144,14.76µm
net147,14.72µm
clknet_1_0__leaf_net162,14.68µm
net636,14.66µm
clknet_0_net803,14.6µm
net379,14.58µm
clknet_1_1__leaf_net801,14.58µm
clknet_1_1__leaf_net297,14.58µm
net1058,14.55µm
clknet_0_net942,14.46µm
net397,14.385µm
net312,14.34µm
net491,14.34µm
clknet_1_0__leaf_net242,14.34µm
in61,14.3µm
net20,14.28µm
in14,14.2µm
in44,14.2µm
net1056,14.14µm
in20,14.12µm
net389,14.06µm
clknet_1_1__leaf_net574,13.9µm
net146,13.88µm
net514,13.78µm
in54,13.74µm
net1051,13.72µm
clknet_0_net407,13.66µm
net464,13.6µm
net1054,13.59µm
net159,13.58µm
net1066,13.5µm
net23,13.42µm
in46,13.38µm
net496,13.28µm
clknet_1_1__leaf_net621,13.28µm
net802,13.16µm
in30,13.08µm
clknet_1_0__leaf_net605,13.04µm
out35,12.97µm
in38,12.96µm
net374,12.86µm
net60,12.84µm
in57,12.82µm
net650,12.8µm
clknet_0_net940,12.8µm
net260,12.7µm
out37,12.63µm
clknet_1_1__leaf_net496,12.62µm
net402,12.585µm
net619,12.54µm
in58,12.46µm
net1065,12.46µm
out6,12.4µm
clknet_1_0__leaf_net547,12.38µm
clknet_0_net501,12.38µm
clknet_1_0__leaf_net636,12.28µm
net290,12.2µm
in18,12.16µm
net769,12.16µm
net365,12.12µm
out20,12.065µm
net405,12.04µm
net631,11.98µm
in4,11.9µm
net34,11.88µm
in45,11.82µm
net412,11.74µm
net883,11.74µm
in55,11.7µm
net124,11.62µm
net482,11.58µm
in52,11.44µm
in53,11.44µm
net151,11.44µm
net630,11.43µm
net162,11.36µm
net524,11.36µm
out19,11.36µm
net592,11.32µm
in32,11.24µm
in59,11.24µm
in6,11.24µm
net245,11.24µm
clknet_1_1__leaf_net296,11.24µm
net449,11.2µm
clknet_1_1__leaf_net802,11.16µm
clknet_1_1__leaf_net293,11.15µm
net505,11.12µm
net43,11.1µm
net815,11.04µm
clknet_1_1__leaf_net571,10.92µm
net473,10.905µm
clknet_1_0__leaf_net841,10.86µm
net278,10.85µm
net160,10.82µm
in41,10.78µm
net127,10.72µm
clknet_1_0__leaf_net571,10.565µm
net404,10.56µm
clknet_1_1__leaf_net568,10.52µm
net382,10.49µm
net184,10.46µm
clknet_1_0__leaf_net140,10.46µm
in31,10.44µm
net97,10.44µm
out48,10.44µm
clknet_1_1__leaf_net145,10.44µm
net532,10.4µm
net580,10.36µm
net632,10.36µm
in27,10.32µm
