net,length_um
net902,19.58µm
net440,19.44µm
net965,19.3µm
clknet_0_net577,19.28µm
net503,19.26µm
net657,19.23µm
clknet_1_1__leaf_net545,19.16µm
net116,19.12µm
net410,19.12µm
net887,19.09µm
net907,19.045µm
net266,19.02µm
clknet_0_net674,19µm
clknet_0_net318,18.9µm
net188,18.86µm
net454,18.86µm
net991,18.86µm
net270,18.82µm
net498,18.82µm
net751,18.72µm
clknet_0_net611,18.7µm
net288,18.6µm
net1008,18.6µm
net19,18.54µm
net882,18.52µm
net1002,18.45µm
clknet_0_net445,18.28µm
clknet_0_net720,18.26µm
net722,18.22µm
net49,18.16µm
net269,18.03µm
clknet_1_0__leaf_net859,17.98µm
clknet_1_0__leaf_net688,17.94µm
net720,17.9µm
net268,17.82µm
net698,17.815µm
net4,17.76µm
clknet_1_1__leaf_net740,17.7µm
clknet_0_net562,17.52µm
net27,17.5µm
net519,17.4µm
clknet_1_0__leaf_net827,17.4µm
net615,17.36µm
clknet_0_net472,17.34µm
net620,17.25µm
net990,17.2µm
net247,17.1µm
clknet_0_net368,17.02µm
net121,16.99µm
clknet_0_net345,16.915µm
net567,16.885µm
net102,16.86µm
net339,16.8µm
net248,16.72µm
net373,16.72µm
net749,16.72µm
net880,16.72µm
net302,16.66µm
net959,16.64µm
clknet_0_net582,16.6µm
clknet_0_net470,16.6µm
net131,16.58µm
net114,16.52µm
net637,16.48µm
clknet_0_net431,16.48µm
net65,16.405µm
net211,16.34µm
net669,16.34µm
clknet_0_net596,16.24µm
net465,16.22µm
net233,16.1µm
net261,16.04µm
clknet_1_1__leaf_net689,15.96µm
net350,15.84µm
net976,15.78µm
net325,15.76µm
clknet_1_0__leaf_net339,15.68µm
net678,15.64µm
net320,15.58µm
net341,15.56µm
net481,15.48µm
net338,15.38µm
net723,15.38µm
clknet_1_1__leaf_net445,15.38µm
net493,15.34µm
net472,15.3µm
net55,15.3µm
net738,15.3µm
clknet_1_1__leaf_net574,15.3µm
net957,15.22µm
net817,15.19µm
clknet_1_0__leaf_net689,15.06µm
clknet_1_1__leaf_net472,15µm
net236,14.96µm
net903,14.88µm
net759,14.8µm
net612,14.74µm
net629,14.585µm
net650,14.56µm
clknet_1_0__leaf_net739,14.56µm
net459,14.54µm
net54,14.5µm
in37,14.46µm
net225,14.32µm
net318,14.3µm
clknet_1_0__leaf_net596,14.26µm
net703,14.12µm
clknet_1_1__leaf_net611,14.12µm
net599,14.015µm
net141,13.965µm
net1014,13.96µm
net570,13.9µm
in28,13.88µm
net276,13.82µm
net46,13.78µm
net86,13.76µm
clknet_0_net457,13.76µm
in23,13.66µm
net43,13.54µm
net333,13.43µm
net527,13.38µm
clknet_1_1__leaf_net739,13.38µm
net901,13.28µm
net987,13.26µm
net951,13.2µm
net621,13.14µm
net221,13.12µm
net441,13.07µm
net544,13.06µm
net398,13.04µm
net641,13.04µm
net163,13.005µm
clknet_1_0__leaf_net341,13µm
net579,12.98µm
clknet_1_1__leaf_net318,12.98µm
net551,12.885µm
net372,12.88µm
net610,12.86µm
net741,12.76µm
net993,12.76µm
out21,12.745µm
in24,12.74µm
clknet_1_1__leaf_net562,12.74µm
clknet_1_1__leaf_net233,12.72µm
out9,12.63µm
net162,12.62µm
net796,12.62µm
net473,12.58µm
net220,12.54µm
net385,12.54µm
net419,12.54µm
net639,12.5µm
net734,12.43µm
net764,12.42µm
clknet_1_0__leaf_net758,12.38µm
net487,12.36µm
net633,12.34µm
net713,12.32µm
in34,12.24µm
clknet_1_1__leaf_net586,12.24µm
net380,12.205µm
net1017,12.18µm
net460,12.16µm
net743,12.16µm
clknet_1_1__leaf_net453,12.12µm
net752,12.11µm
net1015,12.08µm
clknet_1_1__leaf_net720,12.05µm
net602,12.04µm
net1005,12.04µm
net13,12µm
clknet_1_0__leaf_net451,12µm
net552,11.985µm
clknet_1_0__leaf_net721,11.96µm
net966,11.92µm
net267,11.86µm
net112,11.85µm
net581,11.84µm
net256,11.82µm
net583,11.82µm
clknet_1_0__leaf_net487,11.8µm
clknet_1_1__leaf_net492,11.78µm
net745,11.7µm
net691,11.68µm
net366,11.62µm
net218,11.58µm
net893,11.5µm
in20,11.48µm
net451,11.48µm
net161,11.425µm
net580,11.36µm
out37,11.36µm
net240,11.32µm
clknet_1_0__leaf_net740,11.32µm
net352,11.24µm
net396,11.24µm
net797,11.24µm
in45,11.22µm
net502,11.2µm
clknet_1_1__leaf_net461,11.2µm
in58,11.14µm
net701,11.04µm
in21,11.02µm
net358,10.88µm
clknet_1_0__leaf_net453,10.88µm
net476,10.86µm
net746,10.84µm
net979,10.82µm
in31,10.76µm
in60,10.76µm
in11,10.675µm
net394,10.66µm
net252,10.63µm
net167,10.6µm
in12,10.59µm
net859,10.58µm
net596,10.52µm
net779,10.4µm
net337,10.32µm
net536,10.32µm
net590,10.32µm
net304,10.24µm
net61,10.24µm
net689,10.24µm
net97,10.22µm
in61,10.215µm
net67,10.16µm
net1028,10.02µm
net47,9.98µm
net597,9.98µm
clknet_1_0__leaf_net336,9.94µm
net113,9.9µm
out4,9.88µm
net540,9.86µm
clknet_1_1__leaf_net687,9.86µm
clknet_1_1__leaf_net440,9.82µm
net390,9.74µm
net534,9.66µm
clknet_1_1__leaf_net702,9.66µm
in13,9.64µm
in26,9.64µm
in27,9.64µm
in30,9.64µm
in33,9.64µm
in39,9.64µm
in42,9.64µm
in44,9.64µm
in46,9.64µm
in49,9.64µm
out40,9.64µm
net1003,9.6µm
net40,9.58µm
net619,9.52µm
net977,9.5µm
net606,9.44µm
net122,9.36µm
net842,9.36µm
net106,9.32µm
net911,9.32µm
in18,9.31µm
in22,9.31µm
net158,9.28µm
net562,9.24µm
clknet_1_0__leaf_net445,9.2µm
net303,9.16µm
net369,9.16µm
net587,9.15µm
net658,9.12µm
net981,9.12µm
net231,9.1µm
in16,9.07µm
net251,9.02µm
net364,9µm
out20,8.96µm
out41,8.96µm
out46,8.96µm
out49,8.96µm
out57,8.96µm
out6,8.96µm
net486,8.94µm
clknet_1_0__leaf_net471,8.9µm
net443,8.86µm
in48,8.84µm
in50,8.84µm
