net,length_um
clknet_0_net462,27.68µm
net365,27.54µm
net462,27.42µm
clknet_1_0__leaf_net275,27.415µm
clknet_0_net854,27.4µm
clknet_1_1__leaf_net475,27.38µm
net103,27.29µm
clknet_0_net706,27.1µm
net241,27µm
net540,27µm
net971,27µm
clknet_0_net57,26.9µm
net996,26.86µm
clknet_0_net972,26.84µm
net37,26.77µm
net16,26.68µm
clknet_0_net469,26.64µm
clknet_1_0__leaf_net56,26.56µm
net662,26.53µm
clknet_0_net835,26.48µm
clknet_0_net257,26.48µm
clknet_0_net397,26.28µm
clknet_1_0__leaf_net591,26.24µm
net508,26.22µm
net919,26.1µm
net1120,25.94µm
clknet_1_0__leaf_net493,25.84µm
net1134,25.84µm
net912,25.81µm
net27,25.72µm
net514,25.62µm
net190,25.585µm
net714,25.535µm
clknet_0_net595,25.48µm
net1132,25.47µm
net634,25.46µm
net628,25.34µm
net275,25.26µm
clknet_1_0__leaf_net475,25.2µm
net182,24.96µm
net67,24.9µm
net145,24.8µm
clknet_1_0__leaf_net423,24.76µm
net465,24.72µm
net901,24.58µm
clknet_0_net742,24.48µm
net191,24.34µm
clknet_1_1__leaf_net965,24.34µm
net592,24.3µm
clknet_0_net499,24.3µm
net656,24.18µm
net363,24.16µm
clknet_1_1__leaf_net257,24.16µm
net1030,24.14µm
net322,24.04µm
clknet_0_net498,23.98µm
clknet_0_net369,23.88µm
net359,23.84µm
net593,23.84µm
net159,23.8µm
clknet_0_net606,23.8µm
clknet_0_net562,23.78µm
clknet_1_1__leaf_net522,23.76µm
net288,23.75µm
net640,23.62µm
net375,23.33µm
net941,23.3µm
net62,23.28µm
clknet_0_net977,23.22µm
net1096,23.18µm
net1098,23.18µm
net621,23.12µm
net848,23.03µm
net229,23.02µm
clknet_0_net705,22.98µm
net332,22.96µm
clknet_0_net179,22.88µm
clknet_0_net273,22.86µm
clknet_1_1__leaf_net238,22.7µm
clknet_0_net927,22.68µm
clknet_0_net423,22.6µm
net603,22.58µm
clknet_1_1__leaf_net499,22.48µm
clknet_1_0__leaf_net973,22.34µm
net433,22.28µm
net902,22.27µm
clknet_0_net251,22.26µm
net403,22.2µm
net646,22.2µm
clknet_0_net604,22.2µm
clknet_1_0__leaf_net461,22.16µm
net446,22.125µm
clknet_1_0__leaf_net517,22.1µm
net469,22.08µm
clknet_0_net181,22.02µm
net509,22µm
clknet_0_net506,21.96µm
clknet_1_1__leaf_net971,21.92µm
clknet_0_net780,21.84µm
clknet_0_net490,21.7µm
net507,21.66µm
clknet_0_net924,21.66µm
clknet_0_net954,21.66µm
net619,21.58µm
clknet_1_0__leaf_net506,21.5µm
net617,21.48µm
net254,21.465µm
clknet_0_net188,21.42µm
net169,21.4µm
clknet_0_net493,21.4µm
clknet_0_net253,21.4µm
net667,21.3µm
clknet_0_net50,21.3µm
net346,21.29µm
net431,21.28µm
net744,21.24µm
clknet_0_net853,21.12µm
net981,21.08µm
clknet_0_net945,21.08µm
clknet_0_net238,21.02µm
net59,20.98µm
net318,20.92µm
clknet_1_0__leaf_net595,20.87µm
net843,20.84µm
clknet_0_net585,20.78µm
clknet_0_net177,20.76µm
clknet_0_net761,20.74µm
clknet_0_net937,20.7µm
clknet_0_net947,20.68µm
clknet_0_net145,20.68µm
net401,20.66µm
net413,20.66µm
clknet_1_0__leaf_net508,20.64µm
net445,20.62µm
net742,20.54µm
clknet_1_0__leaf_net515,20.54µm
net565,20.44µm
net238,20.4µm
net9,20.36µm
clknet_1_0__leaf_net954,20.36µm
net457,20.32µm
net788,20.32µm
clknet_1_1__leaf_net515,20.26µm
clknet_1_1__leaf_net184,20.2µm
net552,20.18µm
clknet_0_net331,20.08µm
net575,20.005µm
clknet_0_net474,20µm
net114,19.98µm
clknet_0_net852,19.96µm
clknet_1_0__leaf_net938,19.88µm
clknet_0_net60,19.82µm
net273,19.78µm
net980,19.78µm
net295,19.71µm
clknet_0_net974,19.7µm
clknet_1_1__leaf_net396,19.7µm
net39,19.585µm
net835,19.56µm
net1106,19.56µm
net373,19.46µm
clknet_0_net517,19.46µm
net303,19.38µm
clknet_0_net568,19.28µm
net681,19.26µm
clknet_1_1__leaf_net471,19.26µm
net358,19.22µm
net560,19.22µm
net490,19.2µm
clknet_0_net591,19.2µm
net28,19.16µm
clknet_1_1__leaf_net191,19.1µm
clknet_0_net303,19µm
clknet_0_net522,18.98µm
net1034,18.92µm
net50,18.82µm
clknet_0_net171,18.82µm
clknet_1_0__leaf_net568,18.78µm
net311,18.77µm
net632,18.74µm
clknet_0_net957,18.7µm
net1013,18.68µm
net608,18.67µm
clknet_0_net833,18.62µm
clknet_1_1__leaf_net54,18.48µm
net79,18.46µm
net1103,18.44µm
net64,18.26µm
net1104,18.22µm
clknet_1_0__leaf_net273,18.2µm
net833,18.18µm
net252,18.06µm
net289,18.04µm
clknet_1_0__leaf_net552,17.985µm
clknet_0_net250,17.98µm
clknet_1_0__leaf_net397,17.95µm
clknet_1_1__leaf_net606,17.86µm
clknet_0_net403,17.82µm
clknet_0_net275,17.82µm
clknet_0_net282,17.8µm
clknet_1_1__leaf_net181,17.72µm
net372,17.66µm
clknet_0_net815,17.64µm
clknet_0_net617,17.62µm
net382,17.6µm
clknet_1_1__leaf_net145,17.5µm
net792,17.48µm
clknet_0_net332,17.46µm
net618,17.39µm
clknet_0_net834,17.3µm
net572,17.26µm
clknet_0_net760,17.23µm
net405,17.22µm
net512,17.22µm
net914,17.06µm
clknet_1_1__leaf_net517,16.99µm
net917,16.98µm
net1156,16.92µm
clknet_1_0__leaf_net854,16.9µm
net974,16.88µm
clknet_1_1__leaf_net49,16.88µm
net488,16.86µm
net423,16.82µm
net529,16.78µm
net675,16.78µm
net450,16.66µm
net595,16.64µm
net389,16.62µm
net25,16.52µm
net573,16.5µm
net416,16.42µm
clknet_0_net744,16.42µm
clknet_1_0__leaf_net184,16.42µm
net45,16.34µm
