net,length_um
net360,10.58µm
net646,10.58µm
net385,10.565µm
net349,10.54µm
in49,10.43µm
net301,10.36µm
net337,10.36µm
net604,10.32µm
net690,10.32µm
clknet_1_1__leaf_net195,10.3µm
net648,10.28µm
net704,10.27µm
net444,10.25µm
net844,10.24µm
net998,10.22µm
net887,10.2µm
net729,10.18µm
clknet_1_0__leaf_net190,10.16µm
net38,10.15µm
net532,10.13µm
net315,10.105µm
net232,10.1µm
net518,10.04µm
net367,9.995µm
net460,9.94µm
net221,9.9µm
net995,9.9µm
net781,9.86µm
net398,9.74µm
clknet_1_1__leaf_net362,9.74µm
net868,9.7µm
net605,9.68µm
net233,9.66µm
net472,9.66µm
in53,9.65µm
in24,9.64µm
in56,9.64µm
net320,9.64µm
net517,9.64µm
net543,9.62µm
net180,9.56µm
clknet_1_0__leaf_net600,9.56µm
clknet_1_1__leaf_net340,9.54µm
in21,9.53µm
net817,9.52µm
net307,9.36µm
net742,9.32µm
net751,9.32µm
net416,9.165µm
net587,9.16µm
net6,9.08µm
net255,9.02µm
net827,8.995µm
out54,8.96µm
clknet_1_0__leaf_net730,8.9µm
net178,8.86µm
net523,8.86µm
net769,8.82µm
net409,8.8µm
net446,8.78µm
net465,8.78µm
net530,8.665µm
net362,8.62µm
net689,8.6µm
net316,8.585µm
net559,8.56µm
net344,8.52µm
clknet_1_1__leaf_net345,8.48µm
clknet_1_0__leaf_net815,8.44µm
net363,8.4µm
in55,8.37µm
net843,8.34µm
net63,8.32µm
net67,8.32µm
net128,8.3µm
net181,8.3µm
net757,8.28µm
in61,8.27µm
net692,8.26µm
in37,8.22µm
net275,8.18µm
net366,8.1µm
net524,8.07µm
net162,8.065µm
net970,8.06µm
in59,8.05µm
net830,8.04µm
out24,8.04µm
out33,8.04µm
net577,8.02µm
net798,8.02µm
net393,8.005µm
net158,7.98µm
net215,7.98µm
net358,7.98µm
in26,7.93µm
clknet_1_1__leaf_net232,7.92µm
net390,7.9µm
net573,7.9µm
net972,7.82µm
clknet_1_1__leaf_net473,7.78µm
net452,7.76µm
net634,7.76µm
net789,7.74µm
net744,7.72µm
net23,7.695µm
in18,7.69µm
in2,7.69µm
in33,7.69µm
in45,7.69µm
in60,7.69µm
net691,7.665µm
net841,7.58µm
net289,7.54µm
net53,7.52µm
net556,7.52µm
net535,7.48µm
net780,7.48µm
net792,7.48µm
net655,7.44µm
net509,7.4µm
in19,7.37µm
net69,7.365µm
net630,7.36µm
in0,7.35µm
in13,7.35µm
in29,7.35µm
in38,7.35µm
in42,7.35µm
in58,7.35µm
in9,7.35µm
in30,7.3µm
in54,7.3µm
net644,7.3µm
net516,7.28µm
net676,7.275µm
net981,7.27µm
net187,7.26µm
net277,7.24µm
net478,7.24µm
net274,7.18µm
net321,7.145µm
clknet_1_1__leaf_net354,7.14µm
net113,7.1µm
clknet_1_0__leaf_net247,7.1µm
net865,7.06µm
net1001,7.06µm
in17,7.01µm
in25,7.01µm
in3,7.01µm
in52,7.01µm
in7,7.01µm
net249,6.98µm
net222,6.96µm
net653,6.895µm
net684,6.76µm
net190,6.72µm
net772,6.72µm
net802,6.72µm
in10,6.67µm
in22,6.67µm
in39,6.67µm
in51,6.67µm
in6,6.67µm
net471,6.64µm
net664,6.64µm
net839,6.64µm
net381,6.6µm
net496,6.6µm
net558,6.6µm
net820,6.6µm
net871,6.6µm
clknet_1_0__leaf_net583,6.6µm
clknet_1_0__leaf_net708,6.6µm
clknet_1_0__leaf_net597,6.6µm
net322,6.57µm
net111,6.52µm
net85,6.52µm
clknet_1_0__leaf_net204,6.52µm
net647,6.5µm
net71,6.485µm
net156,6.48µm
net666,6.48µm
net286,6.44µm
net996,6.42µm
net859,6.4µm
net505,6.35µm
in15,6.33µm
in16,6.33µm
in31,6.33µm
in35,6.33µm
in36,6.33µm
in50,6.33µm
in57,6.33µm
net693,6.32µm
net39,6.3µm
net5,6.3µm
net857,6.3µm
clknet_1_1__leaf_net246,6.3µm
net824,6.28µm
in47,6.26µm
net991,6.26µm
net989,6.235µm
in27,6.23µm
net95,6.14µm
net528,6.09µm
net49,6.08µm
net9,6.06µm
net860,6.04µm
net183,6.01µm
in11,5.99µm
in4,5.99µm
in43,5.99µm
in46,5.99µm
net203,5.96µm
net19,5.945µm
net701,5.94µm
net880,5.92µm
net618,5.84µm
net561,5.825µm
net192,5.8µm
net226,5.8µm
net706,5.8µm
clknet_1_0__leaf_net581,5.8µm
out35,5.75µm
out44,5.75µm
net560,5.72µm
net856,5.72µm
clknet_1_0__leaf_net798,5.68µm
in20,5.65µm
in28,5.65µm
in41,5.65µm
in44,5.65µm
in48,5.65µm
in5,5.65µm
in8,5.65µm
net572,5.6µm
clknet_1_0__leaf_net757,5.6µm
net412,5.58µm
net445,5.56µm
net94,5.56µm
net406,5.505µm
clknet_1_0__leaf_net453,5.465µm
clknet_1_1__leaf_net815,5.46µm
net397,5.4µm
net500,5.4µm
net999,5.34µm
in1,5.31µm
in14,5.31µm
in23,5.31µm
in32,5.31µm
in34,5.31µm
in40,5.31µm
net829,5.26µm
net845,5.26µm
clknet_1_1__leaf_net233,5.16µm
net389,5.14µm
net985,5.14µm
net325,5.12µm
net659,5.1µm
out17,5.07µm
out23,5.07µm
out29,5.07µm
out31,5.07µm
out47,5.07µm
net341,5µm
net353,5µm
net536,5µm
net782,5µm
net850,4.94µm
net319,4.92µm
net656,4.92µm
net891,4.92µm
net65,4.89µm
net48,4.88µm
net889,4.88µm
net980,4.88µm
net994,4.88µm
net658,4.82µm
net20,4.805µm
net680,4.8µm
clknet_1_0__leaf_net354,4.8µm
net832,4.76µm
out14,4.73µm
net262,4.68µm
net652,4.68µm
net764,4.68µm
net295,4.66µm
net978,4.66µm
net185,4.6µm
net668,4.6µm
net1,4.58µm
net345,4.58µm
net417,4.58µm
net246,4.54µm
net361,4.54µm
net730,4.54µm
net973,4.53µm
net974,4.53µm
net98,4.48µm
net175,4.46µm
net823,4.46µm
clknet_1_1__leaf_net238,4.46µm
net115,4.42µm
net342,4.42µm
net628,4.42µm
net763,4.42µm
out15,4.39µm
out16,4.39µm
out18,4.39µm
out25,4.39µm
out28,4.39µm
out43,4.39µm
out7,4.39µm
net107,4.34µm
net438,4.34µm
net487,4.34µm
net822,4.34µm
net93,4.34µm
net837,4.34µm
net892,4.34µm
net982,4.34µm
net1006,4.14µm
net671,4.12µm
clknet_1_0__leaf_net758,4.12µm
net682,4.1µm
clknet_1_0__leaf_net576,4.08µm
net852,4.02µm
net237,4µm
net272,4µm
net426,4µm
net520,4µm
net510,3.9µm
net388,3.88µm
net651,3.76µm
net783,3.76µm
net627,3.74µm
net470,3.68µm
net138,3.65µm
net667,3.595µm
net537,3.56µm
net364,3.55µm
net196,3.54µm
clknet_1_0__leaf_net232,3.54µm
clknet_1_0__leaf_net598,3.54µm
net678,3.445µm
net629,3.43µm
net267,3.42µm
net674,3.42µm
net821,3.42µm
net25,3.32µm
net245,3.3µm
net355,3.3µm
net793,3.3µm
net873,3.3µm
net675,3.22µm
net661,3.135µm
net681,3.08µm
net339,2.96µm
net430,2.96µm
net507,2.96µm
net875,2.96µm
net883,2.96µm
net621,2.93µm
net643,2.86µm
net741,2.86µm
net323,2.84µm
net299,2.74µm
net581,2.72µm
clknet_1_0__leaf_net582,2.72µm
net343,2.64µm
