net,length_um
clknet_1_1__leaf_net613,15.34µm
clknet_1_0__leaf_net591,15.34µm
net704,15.3µm
net1014,15.3µm
net691,15.13µm
net728,15.01µm
net45,14.98µm
net626,14.96µm
clknet_1_1__leaf_net628,14.82µm
clknet_1_0__leaf_net406,14.82µm
net369,14.76µm
net513,14.76µm
clknet_0_net828,14.76µm
net381,14.72µm
clknet_1_1__leaf_net532,14.67µm
in27,14.66µm
net749,14.66µm
clknet_0_net283,14.66µm
net694,14.6µm
net33,14.58µm
net1063,14.54µm
net648,14.46µm
net898,14.44µm
clknet_1_0__leaf_net593,14.44µm
net968,14.42µm
net309,14.34µm
clknet_1_0__leaf_net139,14.34µm
clknet_1_0__leaf_net168,14.26µm
net579,14.18µm
net677,14.16µm
clknet_0_net458,14.12µm
net887,14.08µm
net1027,14.07µm
net788,14.06µm
net3,14.04µm
clknet_0_net968,14µm
net13,13.96µm
net892,13.9µm
net270,13.845µm
net615,13.84µm
clknet_1_0__leaf_net984,13.78µm
net628,13.76µm
net850,13.76µm
in44,13.74µm
net400,13.72µm
net880,13.7µm
net358,13.68µm
net548,13.68µm
net500,13.675µm
net346,13.64µm
in34,13.54µm
net401,13.5µm
net1101,13.5µm
clknet_1_0__leaf_net347,13.48µm
net423,13.46µm
clknet_1_1__leaf_net139,13.46µm
clknet_1_1__leaf_net498,13.42µm
net1096,13.34µm
clknet_1_1__leaf_net623,13.32µm
net486,13.26µm
net661,13.26µm
net820,13.26µm
net594,13.255µm
net639,13.2µm
net286,13.16µm
net606,13.16µm
net614,13.16µm
net143,13.12µm
clknet_0_net159,13.08µm
out28,12.97µm
clknet_1_0__leaf_net767,12.84µm
net116,12.8µm
net172,12.74µm
clknet_1_1__leaf_net519,12.74µm
net333,12.64µm
out31,12.63µm
net941,12.56µm
out15,12.525µm
in47,12.46µm
in14,12.36µm
in57,12.36µm
net753,12.28µm
net344,12.24µm
net515,12.24µm
net670,12.24µm
net433,12.2µm
net613,12.08µm
clknet_1_0__leaf_net309,12.04µm
net790,12µm
clknet_0_net471,12µm
net395,11.94µm
net180,11.92µm
net448,11.92µm
in29,11.9µm
in38,11.9µm
in50,11.9µm
net141,11.89µm
net466,11.88µm
net231,11.84µm
net522,11.8µm
net643,11.78µm
net682,11.775µm
in58,11.7µm
net721,11.68µm
net1098,11.68µm
clknet_1_0__leaf_net560,11.66µm
net168,11.62µm
in36,11.44µm
in54,11.36µm
out29,11.36µm
net1035,11.36µm
net796,11.335µm
clknet_1_1__leaf_net337,11.285µm
clknet_1_1__leaf_net339,11.28µm
out59,11.25µm
clknet_1_1__leaf_net168,11.24µm
net6,11.08µm
net746,11.055µm
clknet_1_0__leaf_net243,11.04µm
clknet_1_1__leaf_net545,10.98µm
in61,10.9µm
net371,10.9µm
net889,10.9µm
out49,10.9µm
net555,10.8µm
net684,10.8µm
net487,10.785µm
in41,10.78µm
in59,10.78µm
net98,10.78µm
net297,10.74µm
net380,10.74µm
net497,10.695µm
net503,10.68µm
net605,10.66µm
net641,10.66µm
net512,10.58µm
clknet_1_1__leaf_net593,10.58µm
net673,10.54µm
net456,10.47µm
net246,10.465µm
net719,10.46µm
net59,10.44µm
out26,10.44µm
net781,10.4µm
net1089,10.4µm
net305,10.36µm
net637,10.36µm
net546,10.34µm
in24,10.32µm
in56,10.32µm
net496,10.32µm
net404,10.31µm
net177,10.28µm
clknet_1_1__leaf_net164,10.2µm
net47,10.12µm
out47,10.1µm
