net,length_um
net747,4.42µm
out12,4.39µm
out18,4.39µm
out19,4.39µm
out48,4.39µm
net631,4.36µm
net958,4.36µm
net39,4.345µm
net68,4.34µm
net743,4.34µm
net780,4.34µm
net802,4.34µm
net806,4.34µm
out45,4.27µm
net379,4.24µm
net681,4.24µm
net390,4.17µm
net703,4.155µm
net180,4.14µm
net270,4.14µm
net582,4.14µm
clknet_1_0__leaf_net71,4.08µm
net939,4.08µm
net11,4µm
net603,4µm
out26,3.93µm
net905,3.9µm
net271,3.88µm
net455,3.88µm
net361,3.78µm
net53,3.78µm
net92,3.78µm
net111,3.76µm
net744,3.68µm
net940,3.68µm
net941,3.68µm
net949,3.68µm
net834,3.66µm
net630,3.58µm
net269,3.54µm
net310,3.54µm
net340,3.54µm
net56,3.54µm
net670,3.54µm
net710,3.54µm
net719,3.54µm
net748,3.54µm
net820,3.54µm
net825,3.54µm
net832,3.54µm
net936,3.54µm
net700,3.52µm
net702,3.44µm
net827,3.44µm
net204,3.42µm
net697,3.42µm
net55,3.345µm
net502,3.32µm
net244,3.3µm
net261,3.3µm
net813,3.3µm
net831,3.3µm
net179,3.25µm
net116,3.08µm
net169,3.08µm
net377,3.08µm
net451,3.08µm
net512,3.08µm
net650,3.08µm
net943,3.08µm
net948,3.08µm
net583,2.985µm
net493,2.98µm
net771,2.98µm
net826,2.98µm
net962,2.98µm
net118,2.96µm
net886,2.96µm
net138,2.85µm
net120,2.76µm
net437,2.76µm
net109,2.745µm
net233,2.64µm
net520,2.64µm
net797,2.64µm
net843,2.64µm
net855,2.64µm
net171,2.62µm
net247,2.62µm
net397,2.62µm
net632,2.62µm
net830,2.62µm
net888,2.62µm
net960,2.52µm
net154,2.5µm
net468,2.5µm
net295,2.42µm
net446,2.4µm
net392,2.39µm
net130,2.38µm
net478,2.38µm
net501,2.38µm
net438,2.31µm
net524,2.3µm
net969,2.3µm
net731,2.255µm
net704,2.18µm
net146,2.16µm
net763,2.16µm
clknet_1_0__leaf_net199,2.16µm
net439,2.145µm
net36,2.08µm
net414,2.06µm
net812,2.06µm
net148,2.04µm
net412,2.04µm
net708,2.04µm
net777,2.04µm
net890,2.04µm
net674,1.94µm
net818,1.94µm
net213,1.72µm
net406,1.72µm
net486,1.72µm
net575,1.7µm
net822,1.7µm
clknet_1_0__leaf_net791,1.7µm
clknet_1_0__leaf_net68,1.7µm
net711,1.585µm
net209,1.48µm
net788,1.48µm
net386,1.38µm
net937,1.36µm
net774,1.14µm
net687,1.02µm
net938,1.02µm
net965,1.02µm
net206,0.92µm
net951,0.92µm
net638,0.46µm
net803,0.46µm
