net,length_um
clknet_1_1__leaf_net406,11.96µm
net561,11.93µm
net614,11.92µm
net59,11.78µm
net757,11.72µm
in23,11.7µm
in50,11.68µm
net731,11.66µm
net81,11.64µm
out32,11.61µm
in27,11.48µm
net288,11.48µm
net294,11.48µm
net1005,11.48µm
net9,11.46µm
net564,11.44µm
net132,11.415µm
net599,11.4µm
net276,11.38µm
out38,11.365µm
net156,11.36µm
net610,11.36µm
out15,11.36µm
clknet_1_1__leaf_net394,11.36µm
in29,11.355µm
net265,11.34µm
clknet_1_1__leaf_net387,11.32µm
clknet_0_net442,11.28µm
net167,11.24µm
net738,11.24µm
in17,11.22µm
in45,11.22µm
net50,11.2µm
net486,11.16µm
in21,11.14µm
net601,11.1µm
in22,11.02µm
in37,11.02µm
in42,11.02µm
in49,11.02µm
in55,11.02µm
in61,11.02µm
net551,10.98µm
net40,10.94µm
net524,10.9µm
out1,10.9µm
out12,10.9µm
clknet_1_1__leaf_net937,10.9µm
net506,10.845µm
net189,10.82µm
clknet_0_net924,10.78µm
in12,10.76µm
in30,10.76µm
in43,10.76µm
in52,10.76µm
net716,10.7µm
in47,10.68µm
in59,10.68µm
net1018,10.59µm
out18,10.44µm
out45,10.44µm
net449,10.36µm
clknet_1_1__leaf_net575,10.36µm
net495,10.32µm
net630,10.28µm
in48,10.22µm
net110,10.2µm
net406,10.16µm
net993,10.12µm
out0,10.1µm
net550,10.02µm
net648,9.98µm
net48,9.94µm
net187,9.9µm
net679,9.9µm
out13,9.88µm
net170,9.86µm
net219,9.82µm
clknet_1_1__leaf_net146,9.82µm
net539,9.78µm
net650,9.78µm
net725,9.66µm
net605,9.64µm
out26,9.64µm
out41,9.64µm
net805,9.55µm
net369,9.52µm
net1011,9.52µm
net520,9.44µm
net144,9.4µm
net351,9.36µm
net465,9.34µm
clknet_1_1__leaf_net442,9.32µm
net107,9.31µm
net164,9.3µm
out37,9.18µm
net955,9.18µm
clknet_1_1__leaf_net920,9.16µm
out59,9.06µm
out60,9.06µm
out7,9.06µm
net98,9.05µm
net671,8.98µm
clknet_1_1__leaf_net395,8.94µm
net302,8.86µm
in11,8.84µm
in34,8.84µm
in39,8.84µm
in40,8.84µm
in57,8.84µm
net12,8.84µm
net255,8.84µm
net586,8.74µm
net1021,8.74µm
in16,8.72µm
in20,8.72µm
in25,8.72µm
in38,8.72µm
in44,8.72µm
in46,8.72µm
in54,8.72µm
in56,8.72µm
out40,8.72µm
out9,8.72µm
net988,8.705µm
net699,8.7µm
net181,8.64µm
net304,8.6µm
clknet_1_1__leaf_net148,8.6µm
net89,8.52µm
out46,8.5µm
out50,8.5µm
out51,8.5µm
out55,8.5µm
out56,8.5µm
net697,8.48µm
net438,8.4µm
clknet_1_1__leaf_net302,8.4µm
in10,8.38µm
clknet_1_1__leaf_net478,8.38µm
net278,8.365µm
net186,8.32µm
clknet_1_0__leaf_net552,8.28µm
net420,8.26µm
clknet_0_net452,8.26µm
net254,8.22µm
net398,8.18µm
net545,8.14µm
net710,8.13µm
net190,8.1µm
out17,8.04µm
out44,8.04µm
net724,8.02µm
net544,7.98µm
net336,7.94µm
in15,7.93µm
net536,7.86µm
net640,7.76µm
net509,7.7µm
in1,7.69µm
net166,7.68µm
net176,7.64µm
net267,7.64µm
net642,7.64µm
net868,7.64µm
net1004,7.64µm
net113,7.63µm
net494,7.6µm
net305,7.58µm
net644,7.535µm
net649,7.52µm
in14,7.47µm
net665,7.4µm
in3,7.37µm
in41,7.35µm
net253,7.34µm
net702,7.28µm
net998,7.28µm
net387,7.26µm
clknet_1_0__leaf_net406,7.24µm
clknet_1_0__leaf_net460,7.24µm
net303,7.22µm
clknet_1_1__leaf_net570,7.185µm
net629,7.14µm
net706,7.14µm
clknet_1_1__leaf_net169,7.14µm
clknet_1_0__leaf_net382,7.14µm
net401,7.1µm
net430,7.1µm
net572,7.06µm
net60,7.06µm
net677,7.06µm
net709,7.06µm
in13,7.03µm
in4,7.01µm
net405,7µm
clknet_1_0__leaf_net425,6.94µm
clknet_1_0__leaf_net452,6.94µm
net468,6.9µm
net361,6.86µm
net715,6.84µm
in9,6.79µm
net281,6.76µm
net765,6.74µm
in6,6.67µm
net285,6.64µm
net559,6.64µm
net608,6.6µm
net104,6.54µm
net178,6.54µm
clknet_1_0__leaf_net598,6.54µm
clknet_1_1__leaf_net290,6.52µm
clknet_1_1__leaf_net910,6.52µm
in5,6.43µm
net617,6.4µm
net647,6.4µm
clknet_1_1__leaf_net379,6.4µm
in18,6.33µm
in36,6.33µm
net151,6.32µm
net212,6.32µm
in2,6.31µm
net625,6.3µm
clknet_1_0__leaf_net152,6.3µm
net443,6.26µm
net221,6.18µm
net1014,6.14µm
clknet_1_0__leaf_net387,6.12µm
out30,6.09µm
clknet_1_1__leaf_net477,6.08µm
net13,6.06µm
net354,6.04µm
in8,5.99µm
net437,5.98µm
