net,length_um
clknet_0_net385,26.02µm
clknet_0_net398,26.02µm
clknet_1_1__leaf_net860,25.79µm
clknet_0_net375,25.76µm
net403,25.75µm
net399,25.72µm
net563,25.5µm
clknet_1_0__leaf_net375,25.5µm
net434,25.48µm
clknet_0_net597,25.44µm
clknet_0_net276,25.44µm
net314,25.42µm
clknet_1_0__leaf_net321,25.34µm
net846,25.18µm
clknet_0_net391,25.16µm
net246,25.1µm
clknet_1_1__leaf_net597,25.1µm
net1099,25.03µm
net406,25µm
net572,24.96µm
net514,24.94µm
clknet_1_0__leaf_net391,24.94µm
net362,24.92µm
net771,24.89µm
clknet_1_1__leaf_net454,24.72µm
net228,24.705µm
net648,24.54µm
net871,24.5µm
clknet_0_net137,24.5µm
net447,24.39µm
net457,24.32µm
net236,24.27µm
net967,24.26µm
clknet_0_net335,24.26µm
net1092,24.24µm
net361,24.16µm
net749,24.15µm
net953,24.14µm
net582,24.04µm
net970,23.93µm
net23,23.92µm
clknet_1_1__leaf_net535,23.9µm
clknet_0_net462,23.88µm
net597,23.84µm
net860,23.76µm
clknet_1_0__leaf_net880,23.63µm
net415,23.58µm
clknet_0_net289,23.54µm
net795,23.5µm
net753,23.46µm
clknet_0_net415,23.42µm
clknet_1_1__leaf_net900,23.36µm
clknet_1_1__leaf_net920,23.3µm
clknet_1_0__leaf_net554,23.22µm
clknet_0_net235,23.06µm
clknet_1_1__leaf_net995,23.04µm
clknet_0_net535,23.02µm
clknet_0_net429,22.96µm
net534,22.86µm
net36,22.8µm
clknet_0_net828,22.8µm
clknet_1_1__leaf_net655,22.68µm
net176,22.64µm
clknet_0_net576,22.6µm
net756,22.5µm
net772,22.48µm
net195,22.42µm
clknet_1_1__leaf_net464,22.4µm
net573,22.345µm
net137,22.34µm
net174,22.34µm
clknet_0_net598,22.3µm
net96,22.26µm
clknet_0_net374,22.22µm
clknet_0_net454,22.16µm
clknet_0_net194,21.96µm
net789,21.955µm
clknet_0_net567,21.94µm
clknet_1_1__leaf_net1003,21.9µm
net878,21.745µm
clknet_1_0__leaf_net616,21.7µm
clknet_0_net456,21.68µm
clknet_0_net183,21.68µm
clknet_1_0__leaf_net567,21.66µm
net248,21.62µm
net683,21.58µm
net279,21.54µm
net542,21.52µm
net557,21.48µm
net763,21.46µm
net532,21.44µm
net717,21.23µm
net976,21.22µm
clknet_1_0__leaf_net827,21.13µm
net656,21.12µm
net636,21.08µm
clknet_1_0__leaf_net247,21.06µm
net275,21µm
clknet_0_net373,21µm
net81,20.985µm
net58,20.885µm
net1104,20.78µm
net1102,20.76µm
clknet_0_net258,20.66µm
net659,20.52µm
net906,20.42µm
net535,20.4µm
clknet_1_0__leaf_net362,20.34µm
clknet_0_net582,20.3µm
net802,20.24µm
clknet_0_net1019,20.12µm
net759,20.08µm
clknet_1_1__leaf_net463,20.08µm
clknet_0_net562,20.04µm
net624,19.98µm
net829,19.86µm
net104,19.825µm
net576,19.82µm
clknet_0_net623,19.82µm
net556,19.78µm
net611,19.74µm
net625,19.74µm
net205,19.73µm
clknet_1_0__leaf_net366,19.68µm
net153,19.66µm
clknet_0_net365,19.66µm
clknet_0_net992,19.64µm
clknet_1_1__leaf_net366,19.445µm
net66,19.44µm
clknet_0_net362,19.36µm
clknet_1_1__leaf_net235,19.28µm
clknet_1_0__leaf_net367,19.26µm
net767,19.24µm
net131,19.04µm
net308,18.86µm
net431,18.68µm
net591,18.62µm
net262,18.6µm
net425,18.6µm
net271,18.54µm
clknet_0_net920,18.44µm
clknet_0_net900,18.26µm
net85,18.24µm
net388,18.22µm
net692,18.2µm
net263,18.18µm
net583,18.13µm
net211,18.1µm
net442,18.1µm
clknet_0_net899,18.08µm
net481,17.98µm
clknet_0_net371,17.86µm
net650,17.825µm
clknet_1_0__leaf_net510,17.8µm
net339,17.7µm
clknet_1_0__leaf_net385,17.655µm
net259,17.62µm
net798,17.62µm
net365,17.6µm
clknet_1_1__leaf_net828,17.6µm
net25,17.54µm
clknet_1_1__leaf_net321,17.52µm
net718,17.46µm
clknet_1_1__leaf_net373,17.46µm
clknet_1_0__leaf_net1019,17.44µm
net402,17.425µm
net766,17.32µm
clknet_0_net534,17.32µm
net476,17.28µm
net475,17.26µm
net562,17.2µm
net737,17.185µm
net903,17.12µm
clknet_1_1__leaf_net510,16.96µm
net148,16.95µm
clknet_1_1__leaf_net567,16.9µm
net320,16.84µm
clknet_1_1__leaf_net429,16.84µm
net371,16.72µm
net61,16.72µm
net461,16.68µm
net891,16.64µm
clknet_0_net361,16.64µm
net438,16.6µm
net740,16.5µm
clknet_1_0__leaf_net183,16.42µm
clknet_1_0__leaf_net474,16.36µm
clknet_0_net860,16.28µm
net190,16.26µm
net845,16.26µm
net369,16.2µm
net113,16.16µm
net366,16.14µm
net545,16.14µm
net917,15.94µm
clknet_1_1__leaf_net598,15.94µm
net712,15.91µm
clknet_1_0__leaf_net425,15.82µm
clknet_1_0__leaf_net194,15.72µm
net276,15.68µm
net1106,15.58µm
net229,15.44µm
net841,15.42µm
net788,15.41µm
clknet_0_net425,15.4µm
clknet_0_net566,15.36µm
net769,15.26µm
net300,15.22µm
net554,15.22µm
net651,15.2µm
net880,15.2µm
clknet_1_1__leaf_net391,15.18µm
net537,15.02µm
clknet_1_0__leaf_net598,15.02µm
net721,15µm
clknet_0_net247,14.92µm
clknet_1_1__leaf_net137,14.92µm
